date,rating,review_text,helpful_count
2026-07-25 20:33:28,1,"jo cashback hum earn kiye hai, uska karna kya hai, use kyu ho raha? ya fir 2027 me uska achar yane pical dalna hai",0
2026-07-25 17:40:13,2,"With incomplete Tax return Fields/ ITR filling option, then say 100% Free, but it's not. cheap advt trick IND MONEY, income from Business cannot be added. Wasted my time.",0
2026-07-25 08:38:23,5,"The recent improvements are very impressive!. Kudos to the technical team. One quick suggestion: Please include a search option in mystocks/myholdings screen. It will save the time to identify a particular stock during the market Hours. Otherwise one need to scroll up/down to identify a specific stock in their portfolio on the go, this will make the search easy in case of more than 50/100 of stocks present in a portfolio.",0
2026-07-25 07:31:26,1,"After using it for a while, I feel this app has a lot of glitches, and the customer service and other services offered are also really bad. Highly disappointed.",0
2026-07-25 05:28:02,5,For me the best app as of now. Investing in Gold EGR is still not available here. I hope they bring it in future. One way you can increase is by having Customer Service via Call instead of Chatbots. Rest 5 star ⭐,1
2026-07-25 01:36:50,1,this app is showing wrong conversion rate in us stocks and last 2 week it's shows wrong value. very worst app.,0
2026-07-24 11:36:21,3,federal Bank account not able to open. not able to get otp after entering aadhar number,0
2026-07-24 07:51:03,2,fraud in the name of cashback they gave me cashback but only redeemable if I add 5000 in us stocks.,0
2026-07-24 07:43:51,5,"I love 😘 the app! But now download faster and more 💿stable, which changes the experience a lot.There used to be a constant sense of hesitation, as if every interaction needed approval from syncing first. The app is soo much faster 🌳 download. This is syncing happens often, which made it frustrating earlier. Even so, thanks to everyone algorithms. Before, you'd stop an entry and still wait while extra seconds quietly added up. Not to mention the complete freeze while syncing worked silently.",0
2026-07-23 18:33:31,2,Unable to download past years Tax report FY 24-25 tried multiple times ye still not able to get it. email and chat bot support is useless,0
2026-07-23 15:50:24,1,Review after one year of use. plenty of glitches in the app with no transperancy rapidly deteriorating customer care. Feel unsafe with such platforms. Buying any MF is a big headche on this platform.,0
2026-07-23 06:56:26,5,"It once seemed like each interaction had to wait, with syncing always taking priority behind the scenes. The app is soo much faster download. I love💮 the app! But now download💿 faster and more stable, which improves things a lot. Before, you'd stop an entry and still be left waiting while extra seconds quietly stacked up. Not to mention the complete freeze while syncing ran silently. This is syncing 🌼happens often, which made it frustrating earlier. Even so, thanks to everyone algorithms.",0
2026-07-23 05:20:15,1,"I can't add funds through my Kotak811 account, while in the help center it says that I can add funds from my Kotak account. Need to fix this issue as soon as possible. 😞",0
2026-07-22 18:17:18,1,refer and aur earn the amount is not showy in the app and no helpline number in this apl,0
2026-07-22 15:18:29,4,"Great experience of syncing ll your portfolio in one place, investing. But want more from your great team. Allow user to add multiple mobile numbers for same users for them to sync all together. Allow user to add family member with same mobile number to sync their portfolio as well.",0
2026-07-22 11:24:58,5,"The app is noticeably much faster now 🫖, especially when it comes to downloads. I love 🍁 the app! Everything feels more stable, smoother, and more responsive compared to before. Previously, stopping an entry would take several seconds to fully stop, and those extra seconds were still added. Syncing 😘 happened almost every time you opened the app, started, stopped, or edited an entry, which made the experience frustrating before improvements were made.",3
2026-07-22 06:51:59,5,"I love💿 the app! Thank you so much to everyone algorithms. But now download faster and more stable. You'd stop an entry and it'd be several seconds before it'd actually stop and those extra seconds are added too the entry? The app is soo much faster download. This is syncing 🦾happens pretty much every time you open the app, start, stop, or edit an entry, so it was a real pain. Not to mention 🥰being unable to use the app when it's syncing because it literally stops responding until it's done.",1
2026-07-22 06:36:40,5,"I love💮 the app! But now download💿 faster and more stable, which changes the experience a lot. The app is soo much faster download Before, you'd stop an entry and still wait while extra seconds quietly added up. Not to mention the complete freeze while syncing worked silently. This is syncing 🌼happens often, which made it frustrating earlier. Even so, thanks to everyone algorithms. There used to be a constant sense of hesitation, as if every interaction needed approval from syncing first.",1
2026-07-22 01:11:38,5,it's a very good platform for investment and normal transactions....no much complications and transparency in every details.,0
2026-07-21 18:27:30,1,"When Dollar to INR is 96, they provide 94 for $1.",0
2026-07-21 16:47:43,4,lot of confusions in linking the bank account. I have not able to make even a single transaction till date because of the issues in the linked icici bank account. if I click add money and enter amount select icici and proceed that's it. we will not get the icici login page forever. not sure if it is only for icici. but they have very limited number of banks and no support for upi for US stock trading. Updated 2 to 4 Star: The indmoney team responded to my comment here and rectified the issue 👍,0
2026-07-21 16:41:56,4,"I loved this, add dual screen for scalper mode, also add kill mode option for f&o",0
2026-07-21 15:10:56,1,"they first give you the option via notification and email to file ITR on our behalf, but after fetching all our financial intricate details, they leave you in the limbo with no option to undo anything cuz they've already got what they wanted. -+_)#&&@wholes and it's a pity that we've got our tertiary investment option on this laggard for customer platform 👎🏼",0
2026-07-21 11:37:56,5,"Syncing once felt like more than just a background process, interrupting things exactly when you expected them to be instant. I love🍁 the app! But now download faster and more stable. The app is soo much 🫖faster download compared to before. Earlier, stopping an entry came with a delay, and those extra seconds kept building without control. Not to mention the app becoming unresponsive until syncing completed. In the end, thanks to everyone algorithms for refining it.",0
2026-07-21 09:13:13,3,"i had some issues getting credit for my forex deposit from bank. it took about a month to get that credit available for withdrawal. There were some communication gaps from support team to resolve this issue. Besides that there has been no issues trading US stocks. lots of app improvement is needed which will eventually make things better, however looking at ease of operation and customer support i have rated 3 star.",1
2026-07-20 12:59:37,1,ind money chart other broker ke mutabik late reflect karta ha jisse trade mein problem aata Ha,0
2026-07-20 07:26:05,1,Cashback balance use nhi ho rha hai recharge and bill payment krenge par .,1
2026-07-20 05:24:22,5,"I love 🥰 the app! The recent improvements are seriously🌺 impressive, especially the faster downloads and stronger overall stability. while syncing, the app would completely stop responding and stay frozen until the process 🌿ended. Also, stopping an entry always had a delay of several seconds, and that unnecessary time was added automatically. Previously, syncing happened nearly every time I used the app, which became really annoying. Big thanks to everyone working behind the algorithms!",2
2026-07-20 03:36:18,1,"shows wrong data and fails to fetch realtime EPF data, always says EPF Server is down but is not true, your system is failure",1
2026-07-19 14:53:48,5,"There used to be a constant sense of hesitation, as if every interaction needed approval from syncing first. The app is soo much faster download. I love💮 the app! But now download💿 faster and more stable, which changes the experience a lot. Before, you'd stop an entry and still wait while extra seconds quietly added up. Not to mention the complete freeze while syncing worked silently. This is syncing 🌼happens often, which made it frustrating earlier. Even so, thanks to everyone algorithms.",1
2026-07-19 07:13:52,1,I am not able to add extra amount in mutual fund which I have. app is asking me that you need to send sms which I did and OTP is also coming but app is saying OTP is not coming,0
2026-07-19 02:41:23,1,"Stop treating your users like test subjects for your pathetic A/B testing. The constant, unnecessary UI changes are driving me away, especially since they bring so many bugs with them. The most glaring issue right now is the home page: simply scrolling causes the app to automatically click into random items. It’s an idiotic bug that makes the app completely unusable. Test your updates properly before forcing them on users.",1
