date,rating,review_text,helpful_count
2026-08-23 04:04:44,4,"INDmoney already has a great interface and a dedicated F&O section. It would be even better with F&O-specific filters like Top Gainers, Top Losers, Volume/OI, and Bullish/Bearish. Currently, after finding an F&O stock, we still have to open the option chain separately to identify the relevant CALL or PUT. A one-click F&O experience, where the most relevant CALL/PUT with strike and expiry is shown instantly, would make trading much faster. Please consider adding this in a future update 🙏",0
2026-08-23 03:01:03,1,"wrost service, customer care not relove issues,not frindly......they will not talk cut the call...only chat give",0
2026-08-21 17:08:32,1,"I traded through this app in August 2025. Recently, I sold my equity and requested a withdrawal, but my withdrawal claim was cancelled and my account balance is now showing zero. My money is stuck, and there is no proper help or support available through the app to resolve the issue. This has been a very disappointing and stressful experience. I strongly recommend that users be cautious before trading through this app. Please resolve such issues promptly and provide proper customer support.",1
2026-08-21 15:22:40,5,"Don't know why but the trend chart of combined value of all MF removed from analytics in the last update, which was a crucial tool. Edit: now trends for individual MFs have been added, but not for the overall portfolio. Edit 2: the analytics have been restored and is better than the previous ones. Edit 3: if possible please add XIRR % and Absolute Returns % in a chart.",5
2026-08-21 13:40:21,4,please add an option to gift mutual funds to family members. (mfcentral now allows this),0
2026-08-21 13:35:43,5,"I love🌳 the app! But now downloads are faster and more🍭 stable, which is a really nice improvement. The app would literally stop 😍responding whenever syncing started, so you couldn't use it until everything was finished. You'd stop an entry and it'd take several seconds to actually stop, while those extra seconds were added too. Before, syncing happened almost every time you opened the app, started, stopped, or edited an entry, and it became a real pain.",1
2026-08-21 13:29:35,5,"I love☑️the app! You'd stop🧖🏻 an entry and it'd be several seconds before it'd actually stop and those extra seconds are added too the entry. This is syncing 💿happens pretty much every time you open the app, start, stop, or edit an entry, so it was a real pain. The app is soo much faster download. Thank you so much to everyone algorithms. But now download faster and more stable. Not to mention being unable to use the app when it's syncing because it literally stops responding until it's done.",1
2026-08-21 07:23:31,5,Best app for comparing mutual funds. Quick insights to keep track of how your fund changed over the past 3 months.,0
2026-08-21 04:31:04,5,"There was a time when using the app felt like waiting for a tiny storm to pass. 🛟 Syncing could interrupt almost any action, and once it started, the app would become completely unresponsive. Opening, starting, stopping, or editing an entry could all trigger it. Then came the strange delay when stopping an entry—the extra seconds somehow ended up inside the entry. Now the storm is gone. Downloads are faster, stability is stronger, and everything feels calm again. 💙",0
2026-08-20 17:27:26,5,"A very good user friendly app, I ever seen a brokerage app like this ❤️❤️❤️",0
2026-08-20 14:12:18,1,"never apply ipo through ind money, no notification received for UPI Mandate",0
2026-08-20 10:31:23,5,"I love🍁the app! But now download faster and more stable. Not to mention being unable to use the app when it's syncing because it literally stops responding until it's done. The app is soo much🏵️ faster download. You'd stop📀 an entry and it'd be several seconds before it'd actually stop and those extra seconds are added too the entry. This is syncing happens pretty much every time you open the app, start, stop, or edit an entry, so it was a real pain. Thank you so much to everyone algorithm!!",0
2026-08-20 07:24:16,3,ऐप अच्छी है मगर लाइव कस्टमर सपोर्ट नहीं है (प्लीज़ लाइव कस्टमर सपोर्ट शुरू करे) चैट द्वारा सपोर्ट में टाइम वेस्ट होता है सही समय पर समाधान नहीं हो पाता है। इस प्लेटफ़ॉर्म का सबसे बड़ा ड्रॉबैक यही है।,0
