date,rating,review_text,helpful_count
2026-07-19 07:13:52,1,I am not able to add extra amount in mutual fund which I have. app is asking me that you need to send sms which I did and OTP is also coming but app is saying OTP is not coming,0
2026-07-19 02:41:23,1,"Stop treating your users like test subjects for your pathetic A/B testing. The constant, unnecessary UI changes are driving me away, especially since they bring so many bugs with them. The most glaring issue right now is the home page: simply scrolling causes the app to automatically click into random items. It’s an idiotic bug that makes the app completely unusable. Test your updates properly before forcing them on users.",0
2026-07-18 12:12:19,5,"This update completely transformed the experience. 🔥 Everything is quicker, downloads finish much faster 💥, and the app feels more reliable than ever. Huge thanks to everyone behind the algorithms! Previously, syncing happened during almost every interaction, making the app frustrating to use 😓. It froze while syncing, and stopping an entry always came with extra waiting time added to the recorded result.",0
2026-07-18 01:19:10,1,very bad my f&o activation fell dikha raha h 15 days ho gaye h or na koi rekyc ka option dikha raha h,0
2026-07-17 13:55:02,1,"Abysmal ekyc verification process. You get interrogated like you're a criminal on video call, which they record and ask very personal details, and then you get told that their system can't match your face with the pan card. This is not how you get investors to invest.",0
2026-07-17 11:25:51,5,"The latest update in application in US Market does not show actual percentage of profit/loss in after market dur to pre market gain/loss. There should be a option to check actual profit/loss in post market. Rest is perfect. Thank you Thanks to do the needful. but I could not find this settings in menu, Can you explain, where I can switch on/off for this settings?",0
2026-07-17 11:13:56,5,"There was always that slight hesitation, like the app needed time to process even the simplest actions because syncing stepped in. The app is soo much faster download. I love💮 the app! But now download💿 faster and more stable, which makes a noticeable difference. Before, you'd stop an entry and still be left waiting while extra seconds quietly stacked up. Not to mention the complete freeze while syncing ran in the background. This is syncing 🌼happens nearly every time you interact.",0
2026-07-17 11:04:16,1,not possible to withdraw earned reward i am going to uninstall it,0
2026-07-17 10:02:06,1,RIP Cashback. Promoting to open bank account in private sector so that user can utilise cashback by making transaction in foreign share market then user will have cashback. So please keep your cashback to yourself let uninstaliing indmoney from our mobile.,0
2026-07-17 09:28:21,1,fake app .useless cashback do not invest in this app 😡😡😡,0
2026-07-17 06:42:54,5,Really helpful to manage my stocks at a single place,1
2026-07-17 04:42:40,5,The best comprehensive allrounder app so far I've tested. But lacking the AI review and support like hdfc sky has,0
2026-07-17 02:54:30,4,all services are good. just build a easier way to connect customer suipport. like direct cusstomer support number.,0
2026-07-16 16:31:37,1,"There customer support sucks, they have created some random chatbot which neither gives correct answer nor raise it to real people, it's going in a loop, very frustrating",0
2026-07-16 13:27:54,5,There have been indian stocks tracking issues for the past 1 year. still not resolved Edit: seems issue is currently resolved,0
2026-07-16 11:53:39,1,"I think social media influencers make this App popular,but in reality very slow replies from customer service also open account",0
2026-07-16 07:06:09,4,"The app feels noticeably faster now 🫖, especially when it comes to downloads. I love 🍁 the app! Everything feels more stable, smoother, and more responsive compared to before. Previously, stopping an entry would take several seconds to actually stop, and those extra seconds were still added to the entry. Syncing 😘 happened almost every time you opened the app, started, stopped, or edited an entry, which made the experience frustrating. Thanks to everyone behind the algorithms.",0
2026-07-16 06:10:51,1,worst app don't download it talking too much time it was saying first 13th jluy to credit money in us broker then extended 15th jlu and now extended 17th jluy worst app use another broker,0
2026-07-16 05:12:33,1,this is app is very difficult steps and very dangerous is money loser 😳,0
2026-07-15 18:33:22,5,"Excellent App , Tracking Family and all wealth and investing.",0
2026-07-15 11:35:12,5,"It almost felt like the app needed a moment to think before responding to anything you did. The app is soo much faster download. I love💮 the app! But now download💿 faster and more stable, which changes the experience completely. Before, you'd stop an entry and still wait, watching extra seconds quietly get added without control. Not to mention the full freeze while syncing worked in silence. This is syncing 🌼happens nearly every time you interact, which made it feel heavy earlier.",0
2026-07-14 12:58:04,5,"It is really refreshing to notice such a strong improvement. 🚀 The app now feels incredibly smooth, downloads are much faster 💿, and overall stability has improved significantly. Huge thanks to everyone behind the algorithms for making this happen! Earlier, syncing would occur almost every time I opened the app, started or stopped an entry, or edited something 😩. The app would freeze completely until syncing finished, and stopping an entry always added several extra seconds automatically.",1
2026-07-14 12:01:00,5,"I love 🥰 the app! The recent improvements are seriously impressive 🚀, especially the faster downloads and stronger overall stability. Big thanks to everyone working behind the algorithms! Previously, syncing happened nearly every time I used the app, which became really annoying 😤. While syncing, the app would completely stop responding and stay frozen until the process ended. Also, stopping an entry always had a delay of several seconds, and that unnecessary time was added automatically.",0
2026-07-14 08:35:18,2,"i am unable to unpause the SIP, when I click on the paused SIP the app instantly closes. Please fix this issue ASAP.",0
2026-07-14 05:16:19,1,"worst app ,not support customer problem only assistant ai available",0
2026-07-14 04:06:45,1,"I am earned 25/- Cashback through Credit card bill Payment but without my permission that amount was added to us Reward account why , Iam unable to use that cashback for paying Credit card bill Payments and iam receive referral cashback 150/- also that amount was also added to US Reward pot Account, Previously Cashback useful for credit card bill Payments, Please clearly Show in the Banner Cashback is not Useful For Next Bill payments : don't confuse the customers,totally waste of my money",0
2026-07-14 03:18:55,1,suddenly it activated the demat account by forcing some kyc process. also cashback award stopped for reuse in any bill. kindly let me know how to close completely without further delay.,0
2026-07-14 03:03:10,1,wallet Paisa use nahin Kar paye very bad 😞 very bad application,0
2026-07-13 21:16:20,1,not helpful customer Service i invested money in us market but not able to withdraw money when i needed not email team is supporting nor chat i dont even have time in business day to call the customer service so dont invest via indmoney,0
2026-07-13 16:49:08,1,"Your support has been completely unhelpful. I've tried every method suggested by your support AI, but there is still no option to delink an external mutual fund in my Android device. This is a basic account management feature that users should have. It's frustrating that your app includes so many unnecessary features while missing something as essential as allowing users to delink external mutual funds.",0
2026-07-13 15:51:06,5,"thank you Indmoney for one in all investment platform.,MF, EQUITY,FNO, COMMODITY,US STOCKS ETC",0
2026-07-13 13:07:34,1,ye app investment ke liye Thik hoga par INTRADAY TRADING trading Jaise tuff aur highly risky jaise kaam ke liye ye app nahi hai FYERS Aur DHAN Jaise app hi thik hai,0
2026-07-13 12:00:12,3,my fund is stuck in the Federal Bank in indmoney app and customer care still not solving my problem no otp is receiving through federal Bank login otp,0
2026-07-13 08:20:56,1,worst app. it is totally cheater. they don't pay money back . even don't pay the agreed rewards also total waste app and loss of money don't even think to use it. Play store should start negative rating for such app. one star is not their worth at all,0
2026-07-13 07:51:29,5,"At times, even a simple stop action turned into a waiting game because of those extra seconds being added anyway. I love🍁 the app! But now download faster and more stable. The app is soo much 🫖faster download. Not to mention syncing making the app unresponsive until it completed, which made everything feel stuck. This is syncing😘 happens so frequently during use that it became noticeable. In the end, thank you so much to everyone algorithms for making it smoother now.",0
2026-07-13 06:07:53,5,"I really love how the app works now! Before, syncing felt like a constant interruption during almost every action. Opening the app, starting an entry, editing one, or stopping one would often trigger another sync process. During those times, the app became completely unresponsive until everything settled down. Even worse, stopping an entry added extra seconds that still counted. Thankfully, downloads are now faster, stability is stronger, responsiveness has improved, and the overall experience.",1
2026-07-13 04:47:28,1,रुपये म्यूचुअल फंड से निकलने में बहुत परेशानी हो रही है 15 दिन से निकलने की कोशिश कर रहा हूं लेकिन हर बार फेल लिख कर आता है,0
2026-07-13 01:07:48,5,Great app for investment but please make it suitable for tablet interface. As it doesn't show proper data in Tablet.,1
2026-07-12 10:28:26,5,"I love💞 this app! The latest updates have made it much faster, smoother, and more stable than before. Earlier, syncing issues caused delays whenever I opened the app, started, stopped, or edited entries, and sometimes it became unresponsive, which was frustrating. Now everything works much better with faster downloads, quicker responses, and improved stability. The app feels more polished and easy to use. Thanks🙏 to the developers for their hard work and continuous improvements. Keep it up!",1
2026-07-12 08:57:28,1,"first it was good but when I wanted to delete my account then their partnered bank is no where to communicate... I emailed several times to delete my account but it never happened but u will receive a mail saying it's done and the app will say we can't do anything....so time consuming, irritating",0
2026-07-12 08:02:14,2,is app pr koi bhi company ka share sahi price pr nhi rehta aur share pr ahar bhad raha toh aapke share ka price nhi bhadega,1
2026-07-12 01:37:19,5,An excelent and very convenient app for your investment journey i whould highly recomend you to try IND money,0
2026-07-11 09:54:25,4,"app is fine. But I want one other section (event's) by I can see all the past and upcoming events like dividend,bonus, split shares and all",0
2026-07-11 08:09:39,1,This app does not allow all types of bank accounts for investing.,0
2026-07-11 05:12:15,5,"The app is clearly much faster now 🫖, especially when it comes to downloads. I love 🍁 the app! Everything feels more stable, smoother, and more responsive compared to before. Previously, stopping an entry would take several seconds to actually stop, and those extra seconds were still added to the entry. Syncing 😘 happened almost every time you opened the app, started, stopped, or edited an entry, which made the experience frustrating. Thanks to everyone behind the algorithms for improving.",1
2026-07-11 04:23:02,1,this app recently not working properly. we are unable to update the bank balances and cannot able to track all investments. this is useless app. I will give 1 out of 5 stars. I uninstalled this app,1
2026-07-10 20:20:09,5,please add upstox option to fetch Indian stocks and F&O trades in itr filing,0
2026-07-10 18:55:23,5,Excellent app with easy-to-understand lessons and a great learning experience. Highly recommended for beginners in investing and trading.,1
2026-07-10 14:13:25,5,The developers have done a great job creating the app.,0
2026-07-10 14:10:31,1,"⭐☆☆☆☆ Very disappointing experience. Don't install this app if you are expecting genuine cashback offers. They promise cashback, but later ask you to add a minimum of ₹5,000 to your wallet before you can claim it. This condition is not made clear upfront, which feels misleading. I also had a poor experience with customer support. They were not helpful in resolving my concerns. I would not recommend this app to anyone. Please think twice before installing it, and don't suggest it to your frien",0
2026-07-10 12:29:35,4,deserves 5 stars for everything else but why would they delete the XIRR feature for US stocks!! It's so stupid and tbh frustrating,0
2026-07-10 10:55:57,1,unable to use cashback for credit card bill payment. they suddenly limited usage of cashback for us stocks purchase which is not the use case for all users. now no use of this app at all.,0
2026-07-10 09:44:17,5,This is the first time I've had such a smooth ITR filing experience. You guys truly deserve a 5-star rating for your product. I'm really happy to see how well you've nailed it. Keep up the great work!🫡,1
2026-07-10 06:47:39,2,"Cashback can be used only for buying US stocks. If you have multiple mf, and do manual sip. then no option to pay in one shot",0
2026-07-10 06:43:02,1,"it's worst app, they pressurise to buy US stocks from cash back, a person can't use cashback to pay their bills, not customer friendly policy, cash back is my money and i will decide where to spend it , on only us stock friendly policy. i am removing this app. if there is minus rating i would love to give minus rating. policy always made for customer because customer is the King 👑👑👑👑👑👑",0
2026-07-10 06:08:11,5,"I recently download to Indmoney and amazing! I'm not a fan of the rate limits on free, but I'm still deciding if I want to migrate everything over and start giving this company my money. I know for a fact I'm done giving the other company any money. This Al is very personable and easy to use. It has a lot of knowledge of the things I use it for (acrylic painting) and good suggestions/ideas. I tried this app about six months ago & didn't like it at all. It's definitely improved! I'll give it 5🤑.",0
