date,rating,review_text,helpful_count
2026-06-07 10:08:00,4,facing ekyc problems for open federal account especially regarding occupation issues you have add some more options suitable for unemployed people,0
2026-06-07 09:28:44,1,Thought of trying US stocks to test the waters. added approx 40$ with 4000INR in two transactions. its been a week still funds not credited broker account or refunded back to source account. no proper cc service too.,0
2026-06-06 17:58:40,4,I love the app But Constantly Changing Banking Partnerships in US Stock investing is Frustrating also confusing What should we do if you cut off the ties after we opened the account and start investing through the Bank We can't open a account every bank in India ditching every bank after investing Stick with one bank partnerships in US Stock investing,0
2026-06-06 16:05:39,5,intera day how to use plz call me for knowledge Monday morning. I m waiting ur call....,0
2026-06-06 15:57:21,2,I am unable to add money in US wallet what the hell is going on with this app,0
2026-06-06 14:58:55,5,"INDMONEY APP IS A SUPERB DEMAT APPLICATION IN WHICH I HAVE GOT EVERYTHING STRARTING FROM STOCK , FNO ,COMMODITY AND US STOCKS.LOT OF FEATURES MAKES IT A LEADING BROKERAGE APP. BROKERAGE IS ONLY 5 PER ORDER.",0
2026-06-06 07:31:20,3,I don't use this app because managing trades feels difficult compared to other trading platforms. The main reason is that the Orders and Positions tabs are not easily accessible. It would be much better if the Orders and Positions tabs were permanently fixed in the bottom navigation bar and remained visible whether the user is on the Stocks page or the F&O page.,0
2026-06-05 18:53:02,1,all i asked qas for a single feature which is auto tp and sl in point not in percentage. but you people couldn't full fill such a basic feature. such a shame. its been more than 5 months of asking,0
2026-06-05 14:23:05,1,There are so many stocks not there in this app and also there are price changes in stocks.Instead use TRADINGVIEW app 👍👍👍👍,0
2026-06-05 10:53:51,1,my account set up is still incomplete despite providing all the details. wasted a lot of my time and energy.,0
2026-06-05 06:16:19,4,Down side is you can't buy Irish Etf like CSPX and DRIP system is not available for Indians hope you try to bring both in your app updates..,0
2026-06-04 17:40:45,3,you removed the per day earning calendar for us stocks in the new version. really it was helpful.,0
2026-06-04 16:26:53,4,good app. but now the us stock part has bug. show more amount of money than you invested and because of that it will show negative return,0
2026-06-04 15:39:41,2,Federal Bank Video KYC is broken. 'Connecting to agent' since days but no agent joins. Can't start US stock SIP. @INDmoney fix this.,0
2026-06-04 14:08:20,4,"the App is good, but why I can't start new Sip To my Link Account, it's automatically choose Upi, 🫪I don't want To Use Upi FOR Sip , Can You Do Something 🫡",0
2026-06-04 13:00:12,5,"I love🍁the app. The app is sooo💿 much faster download This is syncing happens pretty much every time you open the app, start, stop, or edit an entry, so it was a real pain! You'd stop an entry and it'd be several seconds before it'd actually stop and those extra seconds are added too the entry! But now download faster and more stable.! Not to mention being unable to use the app when it's syncing because it literally stops responding until it's done.",0
2026-06-04 12:53:55,5,"I love 🕓the app! But now download faster and more ✔️stable. Thank you so much to everyone algorithms. This is syncing happens pretty much every time you open the app, start, stop, or edit an entry, so it was a real pain. The app is soo much faster download. You'd stop an entry and it'd be several seconds before it'd actually stop and those extra seconds are added too the entry. Not to mention being unable to use the app when it's syncing because it literally stops responding until it's done.",0
2026-06-04 08:36:34,5,it's a Good trading app for investing in Indian & foreign exchange,0
2026-06-04 08:07:42,1,"Unable to update nominee even after multiple attempts, it keeps on saying it will be updated in x days but never happens. The app not even shows that nomiee update is in process - this is such a big thing for investors when no clarity is there related to nomination. When I try to contact the chatbot says again update the nomination plus I am also not able to connect with an executive. Please help",0
2026-06-04 03:42:23,2,"there are lots of bugs in this app, sometimes it shows balance sometimes it doesn't. as well there is also lagging",0
2026-06-03 17:56:56,2,"In India, stock market investments are regulated by SEBI, and investors have a regulatory authority to approach if any fraud occurs. Similarly, since we are investing in U.S. stocks through your platform, I would like to understand what investor protection mechanisms are in place. If any fraud, platform issue, or loss due to operational failure occurs, whom should investors approach for assistance and recovery of their invested funds? Which regulatory authority oversees such matters?",5
2026-06-03 15:35:35,5,"Really an outstanding,highly creditable and commendable investment platform which is indeed ideal for building enviable wealth.",0
2026-06-03 15:33:39,5,"INDmoney app is HANDLING FINANCIAL TRANSACTIONS. Without customer care support, always, there is a FEAR in customer's mind, in case something goes WRONG, NO ONE is available here to listen the customer instantly. In present scenario, CYBER CRIME is on TOP. 'Raising Ticket System' is a OLD TREND & taking long time to inform any FRAUD case. So, sir, please, implement CUSTOMER CARE SUPPORT (ONE TO ONE) shortly. It will create a FEARLESS & FRIENDLY environment. Regards",0
2026-06-03 15:28:29,4,take very log time to convert inr to dollar so 👎,0
2026-06-03 15:04:17,2,"This app is great but after the update the app does not open without locking the screen, I don't like this so I am deleting the app now.",0
2026-06-03 14:51:49,1,newly designed version of the app is garbage! all imp information missing and replaced by pointless graphics,0
2026-06-03 12:12:42,1,"Worst app to use, as withdrawal amount is not receiving.",0
2026-06-03 11:04:24,1,"Scams you with misleading messages and pulls your external mutual fund info without your approval (reads OTP, which you cannot disable to use the app), and changes your subscription from eNPS to other third party private POP Subscribers when you actually try to check your existing portfolio.",0
2026-06-03 09:19:07,4,too often UI are changing but various details provided for analysis. Below is the UI issue that needs to be taken care of. while examining the price the details of the price is hiding the graph please make sure the details are the off the graph curve to see the exact pattern,0
2026-06-03 09:00:34,1,don't invest money if you have low money they take all our money faltu it should be banned,0
2026-06-03 08:19:41,4,grow is use is very easy this this bes app is grow,0
2026-06-02 21:41:15,1,this update is worst to only purchase Quantity Not For Amount,0
