date,rating,review_text,helpful_count
2026-04-18 16:35:48,2,"I thought you would give me cashback like 200 rs for transaction above 1000 rs but you didn't give me any of the rewards, so it is better to uninstall you.",0
2026-04-18 12:20:46,3,"The USD conversion via ICICI Bank is misleading. The exchange rate shown in the INDMoney app is not the rate actually applied—there’s a difference of about ₹0.30 per dollar, with the bank charging a higher rate. When I contacted ICICI Bank, they stated that since this is a third-party transaction, they cannot address the discrepancy. On the other hand, INDMoney’s support team was unable to provide a clear explanation for the difference in exchange rates.",0
2026-04-18 04:29:01,4,"Excellent functionality and integration. However, the following key functionality is missing in the portfolio section: It does not show YTD gain and CAGR of stocks purchased from other brokers. INDMoney has information about amount and current price from the depository so letting users manually add purchase date and buy price would enable this feature.",0
2026-04-17 16:52:16,1,hate this app only give 4 bank (affiliate) to add money.due to this I dealy buying and loos the opportunity to by tesla.,0
2026-04-17 14:54:32,1,Why the app is promoting Insta cash who don't want to kindly disable it and hide it you are highlighting it rather than stock broker apps looks like loan platform.,0
2026-04-17 07:04:45,1,"Unreasonably high MTF charges compared to competitors. INDmoney charges 0.1% uncapped brokerage on MTF trades. On a ₹7.7L trade, I was charged around ₹775 for a single order. plus 1k of additional charges (approx)Meanwhile, platforms like Zerodha cap brokerage at around ₹20 per order while offering similar or better margin benefits. If any one are planning to use MTF, think twice. This pricing model can quietly eat into your capital. these guys are looting like anything",0
2026-04-17 02:16:09,1,netflix is down 9.6% today. your app shows 0.02% up!,6
2026-04-16 11:04:25,4,"excellent and great app, very good and easy to learn and use",0
2026-04-16 09:38:19,5,"I have sent INDmoney a feature request to improve a certain US stocks UX.. they implemented that in just 1 week! I think I can trust this app. I am a Mobile developer myself, I keep USB debugging ON because I need it for my work, but INDmoney being a payment app doesnt unnecessarily force logout me for disabling USBdebugging, they simply stop me when making UPI payments.. this is such a clever and impressive attention to detail! Seems like this app is built by devs who care about their users UX!",0
2026-04-16 09:10:38,5,"hi i am using this app since 2023, every updates are having good features, but when the last updated not good. when I open one stock, full white screen, i shock because it's looking like a toys tool",0
2026-04-15 16:40:43,1,I sealed that stock four days ago. That balance hasn't been added to my account yet. My account balance is showing very low. My money has disappeared from Violet.,1
2026-04-15 15:16:57,1,I tried many time to change our phone number but still not done by indimoney.Very unuseful.,0
2026-04-15 11:57:23,4,line chart was not good this updated version to compare previous one,0
2026-04-15 11:12:46,1,My experience with this app so very bad because not direct call customer care number support ❌ add customer care service earlier as soon as possible 🙏,0
2026-04-15 10:37:00,5,recently update added tradingview with Flash mode. now this app is awesome. please add comodity trading with this app..,1
2026-04-15 06:53:48,1,very bed service in this aap sabka brokerage charges alg alg charge kr rahe hai or tax bhi apne hisab se set kr rahe hai last 2 years se use kr rahi hu not satisfied with service,0
2026-04-15 06:42:20,4,All good. New version is showing white background when clicked on purchased stock recently I feel old look and feel is good,1
2026-04-15 01:07:48,5,it's a good exercise to improve your knowledge on finance,0
