date,rating,review_text,helpful_count
2026-06-14 05:31:43,4,This is the one of my favourite mutual fund platform after grow platform I personally like this 2 MF platforms,0
2026-06-14 01:02:56,3,"Hi, My zerodha account details are not synchronising properly. always show's retry option and connecting with the servers but no result. please fix this issue, all other aggregator details are fetching properly.",0
2026-06-13 15:48:34,4,us stock add money in my bank account is canara bank add,0
2026-06-13 05:37:24,1,bhailog bilkul froud app ha ya mat use kro becouse inhonay mera pasay shre sell karnay par bhi nhi diya fake and froud apko sab shi lgega jab apki withdrawal ki barri aigi tabapko milega thenga,0
2026-06-13 02:17:41,5,"Excellent app for investment in stocks as well mutual funds. Fast trading experience in option trading, stock trading. Very easy to use, easy to understand, easy to open demat account. In new update scalping mode is so smooth with advance tools. Please provide strategy builder with readymade strategy, payoff chart, probability of profit.",2
2026-06-12 22:36:01,5,Hi.. The one day return visibility to be added in MF watchlist,0
2026-06-12 19:27:02,5,Lots of Market analysis tips while Trading time it was very helpful. I got gains from your stocks review. Thanks a lot to your Team.. Amazing Experience with the INDmoney app.. Good Trading Platform. Indian and US Stock market.,0
2026-06-12 14:05:57,4,"The UI glitches a bit at times, but other than that it's provides a good experience of a GREAT OPPORTUNITY",0
2026-06-12 13:32:01,5,add Karur Vysya bank to transfer money for United States of America country buying equity shares,0
2026-06-12 13:05:41,5,is there any possibility to add US based IPO also in the application. if yes please do it..,0
2026-06-12 10:01:16,1,Unable to withdraw money from us account to indian account think before investing your money processing Time will be 4-8months for withdrawal,0
2026-06-12 09:59:19,4,please add emergency fund option jisse public ko pata chale ki unke pass kitna emergency fund hai,0
2026-06-12 09:27:12,3,"I have been using the app for a while and it is highly helpful in seeing all my investment in one app, but the recent changes made in FD tracking is making me doubt the privacy in the app. I'm not sure why the FD number is needed for tracking, earlier it wasnt the case. I hope they revert this change.",0
2026-06-12 08:36:44,1,"useless app, useless support, been trying to resolve an issue since two weeks, no one responds to emails or tickets",0
2026-06-12 06:31:50,5,"An excellent comprehensive wealth management cum trading suite. Highly recommend this platform, although the web portal needs a huge amount of work.",0
2026-06-12 05:31:26,1,don't use this app for f &o trading I will loss my amount because the app issue report to customer no refunds received totally scam app don't used after using 7 months experience on my side don't used for f& o chart not work and trade not show on screen,0
2026-06-11 16:55:56,5,"I never thought investing in US stock exchange can be super simple. This app enabled me to do so, will very limited knowledge of stocks markets.",0
2026-06-11 14:57:54,4,this app should come in stock market n give me stack of 5 percent,0
2026-06-11 13:54:08,1,"Unreliable as no upfront info. Rather then taking the sensitive info first, you guys should be letting a customer know upfront that you only accept 4 different company bank accounts. you keep pushing to open an account for federal bank if a customer has none of the 4 major company bank accounts like hdfc. etc. Before creating an account let the customer know this. Deleted the account Asap. its a BUMMER that to trade in US stocks you dont accept Standard chartered which is a Major US bank !",0
2026-06-11 12:49:24,5,"I love🍁 the app.! The app is so much faster ✔️download. Not to mention being unable to use the app when it’s syncing because it literally stops responding until it’s done.!Thank you so much to everyone algorithms. You’d stop an entry and it’d be several seconds before it’d actually stop and those extra seconds are added to the entry. This syncing happens pretty much every time you open the app, start, stop, or edit an entry so it was a real pain to use. But now download faster and more stable.",0
2026-06-11 10:59:11,5,Nice and Authentic app trade in US Stock. Its direct registered to US stock and IndiannStock too.,0
2026-06-11 09:28:22,5,"I love🍁the app. The app is sooo💿 much faster download. Not to mention being unable to use the app when it's syncing because it literally stops responding until it's done. This is syncing happens pretty much every time you open the app, start, stop, or edit an entry, so it was a real pain! Thank you so much for everyone algorithms! You'd stop an entry and it'd be several seconds before it'd actually stop and those extra seconds are added too the entry! But now download faster and more stable.!",0
2026-06-11 07:49:24,2,"in your application the stocks will not get refreshed live(automatically),i need to manually click on the share and trust me this is so annoying, profit and losses also vary because of this ..... please fix the issue",1
2026-06-11 02:55:48,1,while opening a US stock acc I don't have the required bank but when I click I don't have an account and suddenly it tells me about create a free quick hdfc account via indmoney I tried to do it 50 times and tried from last 20 days but still I can't able to open my hdfc acc so It can be connected to the US stock acc,0
2026-06-10 13:26:02,1,This application won't let you update nomination in your US stocks account. Such a this is a compliance issue and strict action must be taken for these kind of inconvenience. After updating you can't see anything on the application and it will again ask for nomination. Very poor in legal compliances.,0
