date,rating,review_text,helpful_count
2026-03-22 06:08:12,5,It provides a lot of data and information to analyse and compare funds than any other investment app.,0
2026-03-22 04:07:44,1,is platform me sabse ghatiya support milta he koy call nehi lagta he sirf ai se cunnect hota he koy resolution nehi milta koy call back nehi hota,0
2026-03-21 10:06:40,2,maine ek recharge kiya tha or payment failed ho gaya account se paise kat gaye lekin abhi tak bapas nhi aaye 11 din ho gaye,0
2026-03-21 00:10:54,3,IND money Team can update the portfolio section because it's now complex... My opinion is the percentage of stocks and improved analysis section... please,0
2026-03-20 15:16:12,1,"Without any reason, the account of Ind Federal was closed and even after 10 days the balance amount has not been refunded.",1
2026-03-20 12:03:26,1,worst customer support indmoney has.. pathetic.. I want to close my account they aren't helping.,0
2026-03-20 06:37:14,1,"A new ticket (3153991) has been raised regarding my unresolved issue. My previous tickets (3132454 and 3150933) were closed without any resolution. Order ID291192,Amount: ₹50,000 (UTI Retirement Solution Fund )Order Date: 22 Feb2026 Unit Allot Date: 24 Feb Despite the unit allotment being completed, nothing happened. your team asked for 1 more week given that. Now on Monday see you in court.",0
2026-03-20 04:53:08,5,The examples given and the way explain the details can understand and awsome,0
2026-03-20 01:29:10,1,Worst app. I was install the app before 6 months. Still now i can't add my bank details. They push to open Federal bank account. This app haven't customer care contact numbers. How to reach you with out customer care contact numbers. Very poor app. I recommend all peoples Angel one is best. They having customer care contact numbers. If any problem they will solve within a hour. Indmoney is worst app don't install the app.,0
2026-03-19 19:09:48,1,"The interface is very much cluttered and font size is kind of very bigger. it's good to track india stock, US stocks and Mutual fund all in one place which is good but it doesn't provide rich UI. Please check all your competitors UI like Zerodha, Groww where you feel so much difference. The font is too much bigger and UI is very bad. also, the website is even worse since most of the options are not there at all.",0
2026-03-19 13:20:35,1,it was better when they had zero brokerage for US stocks but now they are charging us 0.50% of the trade value per trade + other charges + 0.38% extra charges if the stock price is below 1$ + gst.,0
2026-03-19 12:23:40,5,nice and low charges I love it easy to use,0
